Data;Nowe przypadki;Nowe zgony;Nowe wyzdrowienia;Aktywne przypadki;Próg
03.03.2020;0;0;0;0;brak
04.03.2020;1;0;0;1;brak
05.03.2020;0;0;0;1;brak
06.03.2020;4;0;0;5;brak
07.03.2020;1;0;0;6;brak
08.03.2020;5;0;0;11;brak
09.03.2020;6;0;0;17;brak
10.03.2020;5;0;0;22;brak
11.03.2020;9;0;0;31;brak
12.03.2020;20;1;0;50;brak
13.03.2020;17;1;0;66;brak
14.03.2020;36;1;0;101;brak
15.03.2020;21;0;0;122;brak
16.03.2020;52;1;0;173;brak
17.03.2020;61;1;1;232;brak
18.03.2020;49;0;0;281;brak
19.03.2020;68;0;0;349;brak
20.03.2020;70;0;0;419;brak
21.03.2020;111;0;0;530;brak
22.03.2020;98;2;0;626;brak
23.03.2020;115;1;0;740;brak
24.03.2020;152;2;0;890;brak
25.03.2020;150;3;0;1037;brak
26.03.2020;170;3;0;1204;brak
27.03.2020;168;0;0;1372;brak
28.03.2020;249;2;0;1619;brak
29.03.2020;224;4;0;1839;brak
30.03.2020;193;9;0;2023;brak
31.03.2020;256;2;0;2277;brak
01.04.2020;243;10;0;2510;brak
02.04.2020;392;14;0;2888;brak
03.04.2020;437;14;0;3311;brak
04.04.2020;244;8;115;3432;brak
05.04.2020;475;15;18;3874;brak
06.04.2020;311;13;28;4144;brak
07.04.2020;435;22;29;4528;brak
08.04.2020;357;29;31;4825;brak
09.04.2020;370;16;62;5117;brak
10.04.2020;380;7;34;5456;brak
11.04.2020;401;27;57;5773;brak
12.04.2020;318;24;64;6003;brak
13.04.2020;258;13;48;6200;brak
14.04.2020;270;18;131;6321;brak
15.04.2020;380;23;50;6628;brak
16.04.2020;336;28;106;6830;brak
17.04.2020;457;18;92;7177;brak
18.04.2020;334;15;115;7381;brak
19.04.2020;515;13;59;7824;brak
20.04.2020;306;20;93;8017;brak
21.04.2020;263;20;164;8096;brak
22.04.2020;313;25;216;8168;brak
23.04.2020;342;28;227;8255;brak
24.04.2020;381;40;204;8392;brak
25.04.2020;381;30;182;8561;brak
26.04.2020;344;12;139;8754;brak
27.04.2020;285;26;201;8812;brak
28.04.2020;316;34;189;8905;brak
29.04.2020;422;28;370;8929;brak
30.04.2020;300;20;211;8998;brak
01.05.2020;228;7;255;8964;brak
02.05.2020;270;12;271;8951;brak
03.05.2020;318;15;183;9071;brak
04.05.2020;313;19;150;9215;brak
05.05.2020;406;19;185;9417;brak
06.05.2020;311;18;375;9335;brak
07.05.2020;303;22;207;9409;brak
08.05.2020;337;20;322;9404;brak
09.05.2020;288;9;253;9430;brak
10.05.2020;345;15;261;9499;brak
11.05.2020;330;11;118;9700;brak
12.05.2020;556;28;315;9913;brak
13.05.2020;322;23;279;9933;brak
14.05.2020;411;22;286;10036;brak
15.05.2020;401;24;222;10191;brak
16.05.2020;241;8;257;10167;brak
17.05.2020;272;10;276;10153;brak
18.05.2020;356;11;177;10321;brak
19.05.2020;382;12;275;10416;brak
20.05.2020;471;14;280;10593;brak
21.05.2020;403;10;269;10717;brak
22.05.2020;471;10;279;10899;brak
23.05.2020;315;11;246;10957;brak
24.05.2020;361;3;217;11098;brak
25.05.2020;341;11;82;11346;brak
26.05.2020;443;17;744;11028;brak
27.05.2020;397;4;310;11111;brak
28.05.2020;352;10;230;11223;brak
29.05.2020;332;13;132;11410;brak
30.05.2020;412;10;324;11488;brak
31.05.2020;219;3;255;11449;brak
01.06.2020;375;10;178;11636;brak
02.06.2020;236;18;277;11577;brak
03.06.2020;292;23;288;11558;brak
04.06.2020;361;2;213;11704;brak
05.06.2020;362;20;183;11863;brak
06.06.2020;576;14;231;12194;brak
07.06.2020;575;4;214;12551;brak
08.06.2020;599;9;143;12998;brak
09.06.2020;400;19;198;13181;brak
10.06.2020;282;23;215;13225;brak
11.06.2020;359;9;285;13290;brak
12.06.2020;376;7;109;13550;brak
13.06.2020;440;15;299;13676;brak
14.06.2020;375;10;122;13919;brak
15.06.2020;396;9;157;14149;brak
16.06.2020;407;16;271;14269;brak
17.06.2020;450;14;267;14438;brak
18.06.2020;314;30;396;14326;brak
19.06.2020;352;18;381;14279;brak
20.06.2020;309;12;483;14093;brak
21.06.2020;311;10;502;13892;brak
22.06.2020;296;3;393;13792;brak
23.06.2020;300;16;497;13579;brak
24.06.2020;294;21;561;13291;brak
25.06.2020;289;16;520;13044;brak
26.06.2020;285;17;564;12748;brak
27.06.2020;319;6;754;12307;brak
28.06.2020;193;4;576;11920;brak
29.06.2020;247;6;349;11812;brak
30.06.2020;239;19;384;11648;brak
01.07.2020;382;14;510;11506;brak
02.07.2020;371;15;418;11444;brak
03.07.2020;259;14;442;11247;brak
04.07.2020;314;4;476;11081;brak
05.07.2020;231;5;619;10688;brak
06.07.2020;205;4;220;10669;brak
07.07.2020;257;7;272;10647;brak
08.07.2020;277;15;640;10269;brak
09.07.2020;262;9;599;9923;brak
10.07.2020;265;11;571;9606;brak
11.07.2020;305;6;587;9318;brak
12.07.2020;370;3;513;9172;brak
13.07.2020;299;5;367;9099;brak
14.07.2020;267;12;241;9113;brak
15.07.2020;264;6;736;8635;brak
16.07.2020;333;10;436;8522;brak
17.07.2020;353;7;577;8291;brak
18.07.2020;339;6;419;8205;brak
19.07.2020;358;6;368;8189;brak
20.07.2020;279;4;247;8217;brak
21.07.2020;399;9;232;8375;brak
22.07.2020;380;6;368;8381;brak
23.07.2020;418;9;402;8388;brak
24.07.2020;458;4;456;8386;brak
25.07.2020;584;9;422;8539;brak
26.07.2020;443;7;334;8641;brak
27.07.2020;337;5;103;8870;brak
28.07.2020;502;6;187;9179;brak
29.07.2020;512;12;147;9532;brak
30.07.2020;615;15;453;9679;brak
31.07.2020;657;7;344;9985;brak
01.08.2020;658;5;387;10251;brak
02.08.2020;548;10;335;10454;brak
03.08.2020;575;1;172;10856;brak
04.08.2020;680;6;175;11355;brak
05.08.2020;640;18;265;11712;brak
06.08.2020;726;18;321;12099;brak
07.08.2020;809;13;399;12496;brak
08.08.2020;843;13;362;12964;brak
09.08.2020;624;7;288;13293;brak
10.08.2020;619;2;186;13724;brak
11.08.2020;551;12;273;13990;brak
12.08.2020;715;9;461;14235;brak
13.08.2020;811;13;350;14683;brak
14.08.2020;832;15;401;15099;brak
15.08.2020;771;11;491;15368;brak
16.08.2020;594;8;277;15677;brak
17.08.2020;595;8;229;16035;brak
18.08.2020;597;11;284;16337;brak
19.08.2020;735;17;456;16599;brak
20.08.2020;767;12;382;16972;brak
21.08.2020;903;13;548;17314;brak
22.08.2020;900;13;632;17569;brak
23.08.2020;581;4;522;17624;brak
24.08.2020;548;5;265;17902;brak
25.08.2020;763;17;336;18312;brak
26.08.2020;729;17;615;18409;brak
27.08.2020;887;15;698;18583;brak
28.08.2020;791;9;688;18677;brak
29.08.2020;759;14;751;18671;brak
30.08.2020;631;1;656;18645;brak
31.08.2020;502;6;446;18695;brak
01.09.2020;550;19;392;18834;brak
02.09.2020;595;20;835;18574;brak
03.09.2020;612;14;728;18444;brak
04.09.2020;691;8;1227;17900;brak
05.09.2020;567;13;2526;15928;brak
06.09.2020;437;7;1910;14448;brak
07.09.2020;302;3;857;13890;brak
08.09.2020;400;12;797;13481;brak
09.09.2020;421;11;1225;12666;brak
10.09.2020;506;12;934;12226;brak
11.09.2020;594;10;779;12031;brak
12.09.2020;603;13;877;11744;brak
13.09.2020;502;6;934;11306;brak
14.09.2020;377;15;438;11230;brak
15.09.2020;605;24;451;11360;brak
16.09.2020;600;10;562;11388;brak
17.09.2020;837;16;615;11594;brak
18.09.2020;757;17;587;11747;brak
19.09.2020;1002;12;549;12188;brak
